ENSG_id	LFC
ENSG00000167693	0.248010287
ENSG00000064703	-0.045648101
ENSG00000111671	0.099808669
ENSG00000164938	-0.13618594
ENSG00000160161	0.187976494
ENSG00000111837	-0.294893778
ENSG00000110514	0.060027616
ENSG00000111358	-0.11249939
ENSG00000076864	0.076176418
ENSG00000086015	0.083621058
ENSG00000167747	0.184306624
ENSG00000168036	-0.101049285
ENSG00000167740	-0.133578593
ENSG00000168038	-0.128613567
ENSG00000188191	0.026404247
ENSG00000167748	-0.570309265
ENSG00000262771	-0.145060936
ENSG00000152556	-0.053489358
ENSG00000114854	0.031546101
ENSG00000084676	0.055939933
ENSG00000087494	0.010753582
ENSG00000087495	-0.193524298
ENSG00000117791	-0.226954096
ENSG00000243594	0.047039898
ENSG00000261609	-0.199073625
ENSG00000169744	0.270750232
ENSG00000219891	-0.027306946
ENSG00000215641	0.060519517
ENSG00000215866	-0.064571768
ENSG00000197150	0.054955056
ENSG00000178573	0.034221307
ENSG00000100426	-0.03951662
ENSG00000168298	0.072087951
ENSG00000112414	-0.0760184
ENSG00000059804	-0.151593166
ENSG00000153714	0.002839241
ENSG00000168291	-0.049093198
ENSG00000105879	-0.002721048
ENSG00000175701	0.206990239
ENSG00000262552	0.240439309
ENSG00000085117	0.14507465
ENSG00000111832	0.03503569
ENSG00000265277	0.040559011
ENSG00000231617	0.02532
ENSG00000204221	0.013835193
ENSG00000135074	0.048871543
ENSG00000135077	-0.104375969
ENSG00000135070	-0.060000232
ENSG00000065600	0.051709117
ENSG00000057294	0.072474412
ENSG00000112144	-0.049243302
ENSG00000131759	0.360292059
ENSG00000142279	0.300870285
ENSG00000146083	0.150518286
ENSG00000118193	-0.138031191
ENSG00000149792	0.018110945
ENSG00000146085	-0.085395661
ENSG00000132591	-0.002518055
ENSG00000102471	-0.058880134
ENSG00000149798	0.007524528
ENSG00000177700	0.403867274
ENSG00000177706	0.327658609
ENSG00000177707	-0.158346876
ENSG00000205765	-0.076453889
ENSG00000196116	-0.23993796
ENSG00000187961	0.455610211
ENSG00000147687	-0.034100515
ENSG00000147684	0.082953523
ENSG00000188342	-0.016794831
ENSG00000188343	0.004724885
ENSG00000114529	-0.322199643
ENSG00000163636	-0.033536026
ENSG00000147174	-0.041920436
ENSG00000166831	0.218796085
ENSG00000135617	-0.079094757
ENSG00000162849	0.28876481
ENSG00000114520	-0.118682154
ENSG00000166839	-0.218076924
ENSG00000145198	0.115389884
ENSG00000250853	0.204932077
ENSG00000145781	-0.206612524
ENSG00000169813	-0.017778075
ENSG00000145191	-0.071052981
ENSG00000272932	0.166344683
ENSG00000069956	-0.07089469
ENSG00000145194	0.005241348
ENSG00000115694	0.103332315
ENSG00000259834	-0.634408905
ENSG00000240024	-0.08822915
ENSG00000163463	0.055527578
ENSG00000214113	0.027893888
ENSG00000163466	-0.008190037
ENSG00000170946	-0.009758293
ENSG00000163468	-0.034252112
ENSG00000177954	0.075280466
ENSG00000141682	-0.164091254
ENSG00000048471	-0.173037329
ENSG00000105290	0.132955571
ENSG00000162599	-0.041977706
ENSG00000179222	0.000511662
ENSG00000109736	0.474051518
ENSG00000109738	-0.088305921
ENSG00000066933	-0.0139387
ENSG00000162591	0.483180917
ENSG00000029363	-0.059676922
ENSG00000124486	-0.123225764
ENSG00000169035	0.008382366
ENSG00000128340	0.342101255
ENSG00000069329	-0.069922486
ENSG00000090776	0.283716791
ENSG00000225589	0.057722431
ENSG00000115073	0.008166493
ENSG00000213853	0.036384246
ENSG00000212978	0.034204138
ENSG00000213585	0.029946081
ENSG00000138696	-0.07314097
ENSG00000138346	-0.09296583
ENSG00000213588	-0.003393103
ENSG00000267654	-0.00801223
ENSG00000138698	-0.12945486
ENSG00000014216	0.089360526
ENSG00000105127	0.048356489
ENSG00000162413	0.161735292
ENSG00000224379	0.115962295
ENSG00000070269	-0.134690846
ENSG00000196966	0.114735659
