ENSG_id	LFC
ENSG00000167693	0.060472732
ENSG00000064703	0.081118913
ENSG00000111671	0.134833425
ENSG00000164938	-0.121075659
ENSG00000160161	0.52991852
ENSG00000111837	-0.652083732
ENSG00000110514	-0.001823211
ENSG00000111358	0.048088187
ENSG00000076864	-0.223497458
ENSG00000086015	0.050475878
ENSG00000167747	0.389125255
ENSG00000168036	-0.145799328
ENSG00000167740	-0.203436277
ENSG00000168038	-0.118843202
ENSG00000188191	0.050849547
ENSG00000167748	-0.876346492
ENSG00000262771	-0.067957508
ENSG00000152556	-0.030502442
ENSG00000114854	-0.143555423
ENSG00000084676	-0.033685134
ENSG00000087494	0.102931421
ENSG00000087495	-0.173220993
ENSG00000117791	-0.172702125
ENSG00000243594	-0.018004537
ENSG00000261609	-0.166406698
ENSG00000169744	0.005341962
ENSG00000219891	0.056356111
ENSG00000215641	0.112711276
ENSG00000215866	-0.068758915
ENSG00000197150	0.144212568
ENSG00000178573	-0.075565955
ENSG00000100426	0.002181326
ENSG00000168298	0.46695108
ENSG00000112414	-0.030629758
ENSG00000059804	-0.186305365
ENSG00000153714	0.092870087
ENSG00000168291	-0.008428243
ENSG00000105879	-0.027575879
ENSG00000175701	0.485503908
ENSG00000262552	0.231627833
ENSG00000085117	0.019385982
ENSG00000111832	-0.06434969
ENSG00000265277	-0.071258727
ENSG00000231617	0.05666901
ENSG00000204221	0.197572146
ENSG00000135074	0.056109278
ENSG00000135077	0.08541223
ENSG00000135070	-0.025570636
ENSG00000065600	0.025120545
ENSG00000057294	-0.056733043
ENSG00000112144	-0.096953434
ENSG00000131759	0.290369656
ENSG00000142279	0.323134154
ENSG00000146083	0.191926574
ENSG00000118193	-0.165329557
ENSG00000149792	0.132293049
ENSG00000146085	-0.192062937
ENSG00000132591	0.146735963
ENSG00000102471	-0.109359671
ENSG00000149798	0.092836456
ENSG00000177700	0.36735736
ENSG00000177706	0.240592589
ENSG00000177707	-0.039583389
ENSG00000205765	0.038418934
ENSG00000196116	-0.295112575
ENSG00000187961	0.65875951
ENSG00000147687	0.094354176
ENSG00000147684	0.14842258
ENSG00000188342	0.001889891
ENSG00000188343	0.030888209
ENSG00000114529	-0.212651552
ENSG00000163636	0.003136036
ENSG00000147174	-0.41765378
ENSG00000166831	0.096332249
ENSG00000135617	0.091589699
ENSG00000162849	0.269581499
ENSG00000114520	-0.074125226
ENSG00000166839	-0.105313257
ENSG00000145198	-0.004054562
ENSG00000250853	-0.119636646
ENSG00000145781	-0.11283736
ENSG00000169813	-0.007015342
ENSG00000145191	0.097558336
ENSG00000272932	0.230035949
ENSG00000069956	-0.064549675
ENSG00000145194	0.17315119
ENSG00000115694	0.101237046
ENSG00000259834	-0.448339564
ENSG00000240024	-0.099084285
ENSG00000163463	0.046253366
ENSG00000214113	0.108692279
ENSG00000163466	-0.068388469
ENSG00000170946	0.065199389
ENSG00000163468	0.004374674
ENSG00000177954	0.002934405
ENSG00000141682	-0.073057979
ENSG00000048471	-0.125380978
ENSG00000105290	0.07916261
ENSG00000162599	-0.2345929
ENSG00000179222	-0.113244916
ENSG00000109736	0.542396558
ENSG00000109738	-0.275989378
ENSG00000066933	-0.11656519
ENSG00000162591	0.665743781
ENSG00000029363	-0.084080887
ENSG00000124486	-0.120678568
ENSG00000169035	-0.652036602
ENSG00000128340	0.124462818
ENSG00000069329	-0.064512461
ENSG00000090776	0.122311068
ENSG00000225589	0.070929803
ENSG00000115073	0.057477962
ENSG00000213853	0.00574954
ENSG00000212978	-0.048954793
ENSG00000213585	-0.043424933
ENSG00000138696	-0.098861728
ENSG00000138346	-0.097250615
ENSG00000213588	0.075565382
ENSG00000267654	0.022400982
ENSG00000138698	-0.105333677
ENSG00000014216	0.044735827
ENSG00000105127	0.174910004
ENSG00000162413	0.223996832
